article_title,wikipedia_url,family_name,old_detector_fired,should_fire_new,reason
Shroud of Turin,https://en.wikipedia.org/wiki/Shroud_of_Turin,data-interpretation-split,true,false,"Heading 'Scientific analysis' contains the trigger word 'analysis', so a naive keyword matcher would read the article as a clean split: Description/History/Conservation (data) followed by Religious views + Scientific analysis + Fringe theories (interpretation). In reality 'Scientific analysis' is overwhelmingly concrete empirical data (radiocarbon results, forensic measurements) with debate interleaved sentence-by-sentence, and the genuinely interpretive content ('Religious views') carries no trigger keyword at all. The real structure is interleaved, not a clean two-block split."
Gospel,https://en.wikipedia.org/wiki/Gospel,data-interpretation-split,true,false,"The only heading with an interpretation-style trigger word is the small 'Criticism' subsection at the very end (under 'In Islam'), which a naive detector would read as a clean tail-end interpretation block following a long run of data-sounding headings. But the article's real interpretive core -- 'Composition' and 'Genre and historical reliability', both full of named-scholar debate (Keith, Burkett, Dunn, Allison, Keener) and hedged claims -- sits in the middle of the article under bland, factual-sounding headings with no trigger words. The true structure is data-interpretation-data-interpretation, not the clean split the keyword match implies."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,data-interpretation-split,true,false,"A naive detector that treats 'In popular culture' as an interpretation/reception-type heading would see a clean split: 'Historical references' (data) followed by 'In popular culture' (interpretation). In fact it's inverted -- 'In popular culture' is pure factual cataloguing of fictional references with zero interpretation, while the real scholarly debate (Zahn vs. von Harnack) is buried inside 'Historical references', which the detector would classify as data."
Book of the Cock,https://en.wikipedia.org/wiki/Book_of_the_Cock,data-interpretation-split,true,false,"A naive detector keying on 'cultural importance' as an interpretation-signal phrase would read 'Description and contents' (data) followed by 'History and cultural importance' (interpretation) as a clean two-block split. In reality both sections are internally mixed at the sentence level: 'Description and contents' already smuggles in an interpretive claim about the rooster being based on the Ziz of Jewish mythology, and 'History and cultural importance' interleaves a plain chronological fact with Piovanelli's interpretive characterization. The real content is muddled, not two clean blocks."
Tamim ibn Murr,https://en.wikipedia.org/wiki/Tamim_ibn_Murr,data-interpretation-split,false,true,"None of the headings ('Genealogy and family', 'Children', 'Religion', 'Notable descendants') contain any interpretation/analysis trigger words, so a naive keyword matcher would conclude no interpretive section exists at all and the whole article is data. But the 'Religion' section is genuinely interpretive -- it presents disputed, hedged claims as contested scholarly-religious narrative, clearly distinct in kind from the surrounding factual genealogy blocks. This is exactly the 'no headings match either pattern despite a genuine split in the prose' case the old detector misses."
Shroud of Turin,https://en.wikipedia.org/wiki/Shroud_of_Turin,balanced-debate,true,false,"Article is full of generic hedge phrases: 'McCrone's findings were disputed by other researchers' (no names given), 'continues to be debated' (vague). Where named scholars do appear, the dispute is forensic/authenticity science, not scholarly interpretation of Jesus/early-Christianity textual or historical material as the family defines it, and even those threads lack the both-layers structure required."
Tamim ibn Murr,https://en.wikipedia.org/wiki/Tamim_ibn_Murr,balanced-debate,true,false,"Contains 'Other narrations, however, say that Tamim was one of the Disciples of Jesus' — an 'on the other hand'-style hedge the old keyword detector would catch. But this is an unattributed variant-narration claim about a pre-Islamic Arab figure's religious identity, not a named scholarly debate about Jesus or early Christianity itself; no scholars are named on either side."
Al-Eizariya (Bethany),https://en.wikipedia.org/wiki/Al-Eizariya,balanced-debate,true,false,"Contains strong old-detector bait: 'the subject of much scholarship and debate' and 'not without challengers.' However the debate is about toponymy/etymology and site-identification archaeology, not about interpreting Jesus's life, teachings, or early Christian sources — falls outside the family's subject matter despite matching the surface pattern."
I am (biblical term),https://en.wikipedia.org/wiki/I_am_(biblical_term),balanced-debate,true,false,"Only hedge-style language in the whole article is 'It has been suggested that' regarding the Tetragrammaton's etymology — a soft unattributed claim of exactly the 'some argue' red-flag type, with no named scholar, no counter-argument, and no opposing view offered anywhere else in the article."
Gospel of Matthias,https://en.wikipedia.org/wiki/Gospel_of_Matthias,balanced-debate,true,false,"Looks like it fires (Zahn identified the work as one; 'Harnack denied this identification'), matching old-detector 'disputed' patterns. On strict re-check this is a single one-line contradiction between two early-20th-century scholars with zero elaboration and no ongoing exchange — doesn't rise to sustained back-and-forth at either layer, just a bare he-said/she-said note."
