article_title,paragraph_index,paragraph_text,tier,notes
"Historical Jesus",0,"Virtually all scholars of antiquity agree that Jesus existed.","1","Lede; neutral factive statement"
"Historical Jesus",1,"Reconstructions of the historical Jesus are based on the Pauline epistles and the gospels.","2","Source-critical method description"
"Historical Jesus",2,"Scholars differ about the beliefs and teachings of Jesus as well as the accuracy of the biblical accounts.","3","Interpretive — scholarly disagreement about meaning"
"Crucifixion of Jesus",0,"The crucifixion of Jesus occurred in 1st-century Judaea, most likely in AD 30 or AD 33.","1","Concrete dating with sources"
"Crucifixion of Jesus",1,"According to the canonical gospels, Jesus was arrested and tried by the Sanhedrin.","1","Citation of what gospels say"
"Crucifixion of Jesus",2,"The precise date of the crucifixion has been debated.","3","Historical reconstruction debate"
"Jesus",0,"Jesus (c. 6 to 4 BC – AD 30 or 33), also referred to as Jesus Christ, Jesus of Nazareth, and many other names and titles, was a first-century Jewish preacher and religious leader.","1","Standard encyclopaedic lede"
"Jesus",1,"Most Christians believe he is the incarnation of God the Son and the awaited Messiah.","3","Theological interpretation"
"Jesus",2,"Virtually all modern scholars of antiquity agree that Jesus existed historically.","1","Consensus fact"
"Baptism of Jesus",0,"The baptism of Jesus by John the Baptist is a major event in the life of Jesus described in the gospels.","1","Descriptive lede"
"Baptism of Jesus",1,"Most modern theologians view the baptism of Jesus as a historical event to which a high degree of certainty can be assigned.","3","Theological interpretation of event"
"Baptism of Jesus",2,"The Gospel of Matthew uniquely includes a dialogue between John and Jesus before the baptism.","2","Synoptic comparison"
"Gospel of Mark",0,"The Gospel of Mark is the second of the four canonical gospels and one of the three synoptic gospels.","1","Encyclopaedic lede"
"Gospel of Mark",1,"Most scholars date Mark to around AD 66–74, shortly before or after the destruction of the Temple in AD 70.","1","Consensus dating with reasoning"
"Gospel of Mark",2,"The Gospel of Mark is anonymous and most scholars agree that it was written by an author who was not an eyewitness to the events described.","3","Interpretive — authorial attribution debate"
"Gospel of Mark",3,"Mark's narrative can be divided into two parts: Jesus's ministry in Galilee and surrounding areas, and his final week in Jerusalem.","2","Structural observation"
"Gospel of Mark",4,"Mark sandwiches the cleansing of the temple between the two halves of the fig tree episode. This Markan intercalation links the two episodes structurally.","2","Literary analysis"
"Gospel of Matthew",0,"The Gospel of Matthew is the first book of the New Testament and one of the three synoptic gospels.","1","Encyclopaedic lede"
"Gospel of Matthew",1,"Matthew contains five major discourses, each concluded with the formula 'when Jesus had finished these sayings.'","2","Structural observation"
"Gospel of Matthew",2,"The author of Matthew used the Gospel of Mark as a source, and also drew on a hypothetical sayings collection known as Q.","2","Source-critical analysis"
"Gospel of Matthew",3,"Matthew presents Jesus as the new Moses, delivering a new law from a mountain.","3","Theological interpretation"
"Gospel of Luke",0,"The Gospel of Luke is the third book of the New Testament and one of the synoptic gospels.","1","Encyclopaedic lede"
"Gospel of Luke",1,"Luke's infancy narrative is written in a Septuagintal style, deliberately imitating the Greek of the Old Testament.","2","Literary analysis"
"Gospel of Luke",2,"Luke emphasises Jesus's concern for the poor, women, and social outcasts.","3","Theological interpretation"
"Gospel of John",0,"The Gospel of John is the fourth of the four canonical gospels.","1","Encyclopaedic lede"
"Gospel of John",1,"John employs a distinctive technique of misunderstanding: Jesus uses ambiguous language, his dialogue partner understands it literally, and Jesus clarifies the spiritual meaning.","2","Narrative analysis"
"Gospel of John",2,"Its theology is distinctive: it presents Jesus as the pre-existent Logos who became flesh.","3","Theological interpretation"
"Resurrection of Jesus",0,"The resurrection of Jesus is the Christian belief that God raised Jesus from the dead on the third day after his crucifixion.","1","Neutral definition of the belief"
"Resurrection of Jesus",1,"In 1 Corinthians 15:3–8, Paul lists several resurrection appearances.","1","Citation of biblical source"
"Resurrection of Jesus",2,"The historicity of the resurrection is debated among scholars.","3","Interpretive debate"
"Resurrection of Jesus",3,"N. T. Wright argues that resurrection must be understood within its first-century Jewish context.","3","Theological interpretation — named scholar making claim"
"Josephus on Jesus",0,"The first-century Jewish historian Josephus mentions Jesus twice in his Antiquities of the Jews.","1","Citation of source"
"Josephus on Jesus",1,"The Testimonium Flavianum, in Book 18, describes Jesus as a wise man and mentions his crucifixion under Pilate.","1","Descriptive of source content"
"Josephus on Jesus",2,"Most scholars believe the passage has been interpolated by later Christian scribes.","3","Interpretive — scholarly consensus on authenticity"
"Tacitus on Christ",0,"The Roman historian Tacitus references Christ and his execution by Pontius Pilate in his Annals.","1","Citation of source"
"Tacitus on Christ",1,"This is the earliest non-Christian reference to Jesus's death.","3","Interpretive — significance claim"
"Sermon on the Mount",0,"The Sermon on the Mount is a collection of sayings spoken by Jesus of Nazareth found in the Gospel of Matthew.","1","Definition"
